ID,CODGEO,AREA_NAME,SEX,AGE,DIPLOMA,PRO_CAT,TYPE_HOUSE,NBPERS_HOUSE,NB_10,NB_11_17,NB_18_24,NB_25_64,NB_65,PMR,DRIVING_LICENCE,NB_CAR,TWO_WHEELER,BIKE,ELECT_SCOOTER,NAVIGO_SUB,IMAGINER_SUB,OTHER_SUB_PT,BIKE_SUB,NSM_SUB,WEIGHT_INDIV,GPS_RECORD
10_2992,75107,Paris,Woman,40,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Living alone,1,0,0.0,0.0,1,0,False,True,0,0,1,0,False,False,True,True,False,1549.8231313,True
10_2993,77445,Savigny-le-Temple,Woman,55,,4,In a couple with child(ren),2,0,0.0,1.0,1,0,True,True,3,2,3,0,False,False,False,False,False,1113.8951944,True
10_2994,75115,Paris,Man,44,,2,In a couple with child(ren),3,0,1.0,0.0,2,0,False,True,0,1,0,0,True,False,False,False,True,3936.4098434,True
10_2995,93033,Gournay-sur-Marne,Woman,39,Upper secondary diploma (Baccalauréat) or equivalent,1,Single parent (divorced / separated / widowed),1,1,0.0,0.0,0,0,False,False,0,1,0,0,False,False,True,False,False,4859.3303436,True
10_2996,94079,Villiers-sur-Marne,Man,53,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Living alone,1,0,0.0,0.0,1,0,False,True,1,0,0,0,True,False,False,False,False,417.61591821,True
10_2998,91587,Saulx-les-Chartreux,Man,32,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",2,In a couple with child(ren),2,1,0.0,0.0,1,0,False,True,1,0,1,0,False,False,False,False,False,1528.6932951,True
10_3000,93078,Villepinte,Man,24,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",7,Living with one or both parents,4,0,0.0,2.0,1,1,False,False,1,0,0,0,True,False,False,False,False,752.67867303,True
10_3002,77508,Villeneuve-le-Comte,Man,67,Upper secondary diploma (Baccalauréat) or equivalent,6,In a couple without children,3,0,0.0,0.0,1,2,False,True,2,0,3,0,False,False,False,False,False,12445.469218,True
10_3003,78688,Voisins-le-Bretonneux,Woman,20,Upper secondary diploma (Baccalauréat) or equivalent,7,Living alone,1,0,0.0,0.0,0,0,False,False,0,0,0,1,True,True,False,False,False,2672.2044799,True
10_3004,94033,Fontenay-sous-Bois,Man,51,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple with child(ren),3,0,1.0,1.0,1,0,False,True,1,0,4+,0,True,False,False,False,False,1343.7015485,True
10_3005,94033,Fontenay-sous-Bois,Man,19,Upper secondary diploma (Baccalauréat) or equivalent,7,Living with one or both parents,3,0,0.0,1.0,2,0,False,False,1,0,4+,0,False,True,False,False,False,7305.0528663,True
10_3006,91223,Etampes,Man,42,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",2,In a couple with child(ren),4,0,1.0,1.0,2,0,False,True,3,0,0,0,True,False,False,False,False,1068.4996818,True
10_3007,77058,Bussy-Saint-Georges,Woman,62,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",6,In a couple with child(ren),3,0,0.0,1.0,2,0,False,True,3,0,4+,0,False,False,False,False,False,705.2459952,True
10_3010,94077,Villeneuve-le-Roi,Woman,62,,6,Single parent (divorced / separated / widowed),3,0,0.0,2.0,1,0,False,True,1,0,0,0,True,False,False,False,False,2494.6626944,True
10_3011,92026,Courbevoie,Man,43,,3,In a couple without children,2,0,0.0,0.0,2,0,False,True,2,0,0,0,True,False,False,False,False,4286.6810558,True
10_3014,75115,Paris,Man,21,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",4,Living alone,1,0,0.0,1.0,0,0,False,False,0,0,0,0,True,False,False,True,False,1000.0810595,True
10_3016,78420,Montfort-l'Amaury,Woman,58,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Living alone,1,0,0.0,0.0,0,0,False,True,3,1,2,0,True,False,False,False,False,813.99827614,True
10_3017,91667,Villemoisson-sur-Orge,Man,43,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple with child(ren),4,1,1.0,0.0,2,0,False,True,1,0,4+,0,False,False,False,False,False,1169.4536563,True
10_3018,94054,Orly,Man,40,Upper secondary diploma (Baccalauréat) or equivalent,4,In a couple with child(ren),1,1,0.0,0.0,0,0,False,True,1,1,0,0,True,False,False,False,False,4037.6686895,True
10_3019,77337,Noisiel,Man,21,Upper secondary diploma (Baccalauréat) or equivalent,8,Another family member in the household,2,0,0.0,1.0,0,1,False,False,0,0,0,0,True,False,False,False,False,4340.4850238,True
10_3021,91587,Saulx-les-Chartreux,Woman,46,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",3,In a couple with child(ren),6,1,2.0,1.0,2,0,False,True,2,0,4+,0,False,False,False,False,False,927.48964584,True
10_3022,92040,Issy-les-Moulineaux,Man,45,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple with child(ren),4,2,0.0,0.0,2,0,False,True,1,0,4+,0,False,False,False,True,False,2594.7477257,True
10_3023,93051,Noisy-le-Grand,Woman,33,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",3,Living alone,1,0,0.0,0.0,1,0,False,True,1,0,0,0,True,False,False,False,False,655.32493016,True
10_3024,92046,Malakoff,Man,22,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",7,Not related to other household members,5,0,0.0,2.0,3,0,False,True,0,0,0,0,False,True,False,True,False,1242.8197525,True
10_3025,75120,Paris,Man,45,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Living alone,1,0,0.0,0.0,1,0,False,True,0,0,0,0,True,False,False,False,False,1375.0003715,True
10_3026,94046,Maisons-Alfort,Man,60,Lower secondary certificate (Brevet) or equivalent,4,In a couple without children,2,0,0.0,0.0,2,0,False,True,1,0,0,0,True,False,False,False,False,7732.5306896,True
10_3027,94054,Orly,Man,19,Upper secondary diploma (Baccalauréat) or equivalent,7,Living with one or both parents,4,0,0.0,2.0,2,0,False,False,1,0,1,0,False,True,False,False,False,9339.9993578,True
10_3030,75110,Paris,Woman,55,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple with child(ren),3,0,1.0,0.0,2,0,False,True,0,0,2,0,True,False,False,True,True,2697.5129003,True
10_3031,95676,Villers-en-Arthies,Man,64,Upper secondary diploma (Baccalauréat) or equivalent,6,In a couple with child(ren),3,0,0.0,0.0,3,0,False,True,3,0,1,1,False,False,False,False,False,5074.4511556,True
10_3032,92071,Sceaux,Woman,25,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",7,Living alone,1,0,0.0,0.0,1,0,False,True,0,0,0,0,False,True,False,True,False,571.75926522,True
10_3033,78015,Andresy,Man,53,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",3,In a couple with child(ren),3,0,1.0,0.0,2,0,False,True,1,1,3,0,True,False,False,False,False,2429.3323324,True
10_3034,75111,Paris,Man,27,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,2,0,0.0,0.0,2,0,False,True,0,0,2,0,False,False,False,False,False,2742.1303401,True
10_3035,95500,Pontoise,Woman,32,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",3,Living alone,1,0,0.0,0.0,1,0,False,True,1,0,0,0,True,False,False,False,False,500.60243796,True
10_3036,95500,Pontoise,Woman,34,,4,Living alone,1,0,0.0,0.0,1,0,False,True,0,0,0,0,True,False,False,False,False,781.10891374,True
10_3037,78551,Saint-Germain-en-Laye,Man,18,Upper secondary diploma (Baccalauréat) or equivalent,7,Living alone,1,0,0.0,1.0,0,0,False,True,0,0,0,0,False,True,False,False,False,2700.9156334,True
10_3038,94042,Joinville-le-Pont,Man,55,"Vocational certificate (CAP, BEP) or equivalent",4,In a couple without children,2,0,0.0,0.0,2,0,False,True,0,1,2,0,True,False,False,False,False,4434.8178354,True
10_3039,93013,Le Bourget,Man,39,Upper secondary diploma (Baccalauréat) or equivalent,5,In a couple with child(ren),3,1,0.0,0.0,2,0,False,True,2,0,0,1,False,False,False,False,False,19939.046556,True
10_3040,75118,Paris 18e Arrondissement,Man,22,Upper secondary diploma (Baccalauréat) or equivalent,4,In a couple without children,1,0,0.0,1.0,0,0,False,True,0,0,0,0,False,False,False,True,False,3487.8252536,True
10_3041,93048,Montreuil,Man,37,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",2,In a couple with child(ren),3,1,0.0,0.0,2,0,False,True,1,0,3,0,False,False,False,False,False,1376.2718411,True
10_3042,91377,Massy,Man,27,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,2,0,0.0,0.0,2,0,False,True,2,0,0,0,False,False,False,False,False,910.04565881,True
10_3043,91272,Gif-sur-Yvette,Man,42,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple with child(ren),6,0,3.0,1.0,2,0,False,True,2,0,4+,0,False,False,False,False,False,870.89292586,True
10_3044,91549,Sainte-Genevieve-des-Bois,Woman,36,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",8,In a couple with child(ren),4,2,0.0,0.0,2,0,False,True,2,0,0,0,False,False,False,False,False,656.9061273,True
10_3047,92035,La Garenne-Colombes,Man,34,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Living alone,1,0,0.0,0.0,1,0,False,True,0,0,1,1,True,False,False,False,False,1285.7965172,True
10_3049,77122,Combs-la-Ville,Man,52,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,1,0,0.0,0.0,1,0,False,True,2,1,4+,0,True,False,False,False,True,379.40538281,True
10_3050,75112,Paris,Woman,41,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",3,Living alone,1,0,0.0,0.0,1,0,False,True,0,0,0,0,True,False,False,False,False,1619.4797582,True
10_3052,95154,Chennevieres-les-Louvres,Woman,57,,7,In a couple without children,2,0,0.0,0.0,2,0,False,True,2,0,3,0,False,False,False,False,False,945.03714758,True
10_3053,78653,Vicq,Man,61,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",2,Living alone,1,0,0.0,0.0,1,0,False,True,2,0,0,0,True,False,False,False,False,935.26467631,True
10_3054,77099,Chateau-Landon,Man,61,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",5,In a couple without children,1,0,0.0,0.0,1,0,False,True,1,1,3,0,True,False,False,False,False,717.58191666,True
10_3055,93066,Saint-Denis,Man,31,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Living alone,1,0,0.0,0.0,1,0,False,True,1,0,1,1,True,False,False,True,False,368.33024277,True
10_3056,91326,Juvisy-sur-Orge,Man,44,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",3,In a couple with child(ren),6,2,2.0,0.0,2,0,False,True,1,0,3,0,False,False,False,False,False,1818.1662572,True
10_3057,93062,Le Raincy,Man,42,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Single parent (divorced / separated / widowed),10,2,2.0,2.0,2,2,False,True,1,0,0,0,True,False,False,False,False,2177.5398287,True
10_3058,93063,Romainville,Woman,37,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Living alone,1,0,0.0,0.0,0,0,False,True,1,0,0,0,True,False,False,False,False,348.38326128,True
10_3059,75114,Paris,Woman,51,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Single parent (divorced / separated / widowed),2,0,0.0,1.0,1,0,False,True,0,0,1,0,True,False,False,False,False,2120.2569973,True
10_3060,95019,Arnouville,Man,39,,3,In a couple with child(ren),3,1,0.0,0.0,2,0,False,True,1,0,0,0,False,False,False,False,False,1969.431961,True
10_3063,91103,Bretigny-sur-Orge,Man,38,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple with child(ren),4,2,0.0,0.0,2,0,False,True,2,0,0,0,True,False,False,False,False,870.89292586,True
10_3064,93061,Le Pre-Saint-Gervais,Man,26,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",2,In a couple without children,2,0,0.0,1.0,1,0,False,True,0,0,0,0,True,False,False,True,False,850.21431193,True
10_3065,75111,Paris,Man,45,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple with child(ren),4,2,0.0,0.0,2,0,False,True,1,0,2,0,False,False,False,True,False,3061.8102217,True
10_3067,75112,Paris,Man,23,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",4,Living alone,1,0,0.0,0.0,0,0,False,True,0,0,0,0,False,True,False,False,False,1000.0810595,True
10_3069,94080,Vincennes,Woman,35,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,1,0,0.0,0.0,1,0,False,True,1,0,3,0,True,False,False,False,False,530.20314865,True
10_3070,94046,Maisons-Alfort,Woman,76,,6,In a couple without children,4,2,0.0,0.0,0,2,True,True,0,0,0,0,True,False,True,False,False,5226.7589966,True
10_3073,93005,Aulnay-sous-Bois,Man,34,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",1,Living with one or both parents,5,3,0.0,0.0,2,0,False,True,2,0,0,0,True,False,False,False,False,5802.7874908,True
10_3074,75120,Paris,Man,28,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,2,0,0.0,1.0,1,0,False,True,0,0,0,0,True,False,False,False,False,2742.1303401,True
10_3075,77389,La Rochette,Woman,44,Upper secondary diploma (Baccalauréat) or equivalent,4,Single parent (divorced / separated / widowed),6,3,0.0,2.0,1,0,False,True,1,0,0,0,False,False,False,False,False,6736.3143234,True
10_3076,77040,Boissise-le-Roi,Woman,42,Upper secondary diploma (Baccalauréat) or equivalent,1,In a couple with child(ren),3,1,1.0,0.0,1,0,False,True,2,0,4+,2,False,False,False,False,False,6206.1926701,True
10_3077,75112,Paris,Man,33,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,2,0,0.0,0.0,0,0,False,True,0,0,1,0,True,False,False,False,False,2742.1303401,True
10_3078,91103,Bretigny-sur-Orge,Man,42,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",2,In a couple with child(ren),3,1,0.0,0.0,2,0,False,True,2,0,0,0,False,False,False,False,False,1121.7085393,True
10_3082,94002,Alfortville,Woman,43,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",2,In a couple with child(ren),3,1,1.0,0.0,1,0,False,True,1,0,2,3,True,False,True,False,False,2670.7421646,True
10_3083,93048,Montreuil,Woman,59,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",8,Living alone,1,0,0.0,0.0,1,0,False,False,0,0,0,0,False,False,False,False,False,528.09916585,True
10_3084,92046,Malakoff,Woman,49,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",3,In a couple with child(ren),6,0,2.0,2.0,2,0,False,True,1,0,4+,0,True,False,False,False,False,2909.6632458,True
10_3085,93032,Gagny,Woman,66,,3,In a couple with child(ren),4,0,0.0,0.0,2,2,False,True,1,0,0,1,True,False,False,False,False,6774.4873959,True
10_3086,75116,Paris,Man,18,Upper secondary diploma (Baccalauréat) or equivalent,7,Living alone,1,0,0.0,0.0,0,0,False,True,0,0,1,0,False,False,False,False,False,2547.898829,True
10_3088,94041,Ivry-sur-Seine,Woman,55,Upper secondary diploma (Baccalauréat) or equivalent,3,In a couple with child(ren),5,1,0.0,1.0,3,0,False,True,1,0,0,0,True,False,False,False,False,11322.295783,True
10_3090,75118,Paris,Man,33,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,2,0,0.0,0.0,2,0,False,True,0,0,2,0,True,False,False,False,False,2742.1303401,True
10_3091,78133,Chambourcy,Man,23,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",7,Living with one or both parents,4,0,1.0,1.0,2,0,False,True,1,0,4+,0,False,False,False,False,False,1160.7361271,True
10_3092,92025,Colombes,Man,47,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple with child(ren),4,1,1.0,0.0,2,0,False,True,1,0,4+,0,True,False,False,False,False,2357.189719,True
10_3093,95328,Labbeville,Woman,58,,4,Single parent (divorced / separated / widowed),2,0,0.0,1.0,1,0,True,True,2,0,0,0,False,False,False,False,False,1426.7856668,True
10_3095,95323,Jouy-le-Moutier,Man,25,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",4,Living alone,1,0,0.0,0.0,0,0,False,False,0,0,0,0,True,False,False,False,False,840.25546448,True
10_3096,92072,Sevres,Man,26,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Living with one or both parents,6,0,0.0,3.0,3,0,False,True,3,3,1,0,True,False,False,False,False,3147.3505393,True
10_3097,92072,Sevres,Man,23,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",7,Living with one or both parents,6,0,0.0,3.0,3,0,False,True,3,3,4+,0,False,True,False,True,False,1571.0703183,True
10_3098,95176,Cormeilles-en-Parisis,Man,34,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",3,Living alone,1,0,0.0,0.0,1,0,False,True,1,0,0,0,False,False,False,False,False,533.85756119,True
10_3099,91665,La Ville-du-Bois,Man,46,,2,In a couple with child(ren),4,0,1.0,1.0,2,0,False,True,2,2,1,0,False,False,False,False,False,1249.4278561,True
10_3101,95218,Eragny-sur-Oise ,Woman,41,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple with child(ren),3,0,0.0,1.0,2,0,False,True,1,0,0,0,True,False,False,False,False,1601.3006215,True
10_3102,75117,Paris,Man,20,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",7,In a couple without children,2,0,0.0,2.0,0,0,False,False,0,0,0,0,False,True,False,True,False,1489.6559194,True
10_3103,75107,Paris,Woman,22,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",7,Living alone,1,0,0.0,0.0,0,0,False,True,0,0,0,0,True,False,False,False,False,818.91514887,True
10_3104,95019,Arnouville,Man,73,Lower secondary certificate (Brevet) or equivalent,6,In a couple without children,2,0,0.0,0.0,0,2,False,True,1,0,0,0,False,False,False,False,False,14032.023831,True
10_3105,92060,Le Plessis-Robinson,Man,19,Upper secondary diploma (Baccalauréat) or equivalent,7,Living with one or both parents,3,0,0.0,1.0,2,0,False,True,3,0,1,0,True,True,False,False,False,5068.4390351,True
10_3107,94046,Maisons-Alfort,Woman,40,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,2,0,0.0,0.0,2,0,False,False,1,0,2,0,True,False,False,False,False,1654.1298588,True
10_3109,92048,Meudon,Woman,43,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple with child(ren),4,0,2.0,0.0,2,0,False,True,1,0,2,0,False,False,True,False,False,2917.1914101,True
10_3111,92062,Puteaux,Man,35,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,2,0,0.0,0.0,2,0,False,True,1,0,4+,0,True,False,False,False,False,2930.0194262,True
10_3112,75101,Paris,Man,34,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Living alone,1,0,0.0,0.0,1,0,False,True,0,0,0,0,False,False,False,True,False,1375.0003715,True
10_3113,75117,Paris,Man,40,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple with child(ren),4,2,0.0,0.0,2,0,False,True,0,0,2,0,False,False,False,False,False,2771.6443559,True
10_3114,94034,Fresnes,Woman,50,,3,Living alone,1,0,0.0,0.0,1,0,False,True,0,0,0,0,True,False,False,False,False,567.61945345,True
10_3116,93078,Villepinte,Woman,36,Upper secondary diploma (Baccalauréat) or equivalent,4,Single parent (divorced / separated / widowed),2,0,1.0,0.0,1,0,False,True,1,0,0,0,True,False,False,False,False,12819.127509,True
10_3117,77390,Roissy-en-Brie,Woman,58,Upper secondary diploma (Baccalauréat) or equivalent,8,Living alone,1,0,0.0,0.0,0,0,False,False,0,0,1,0,True,False,False,False,False,1576.4530626,True
10_3118,94033,Fontenay-sous-Bois,Man,60,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Single parent (divorced / separated / widowed),3,1,1.0,0.0,1,0,False,True,0,0,2,0,True,False,False,False,False,791.36126487,True
10_3119,78621,Trappes,Man,62,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",6,In a couple without children,2,0,0.0,0.0,2,0,False,True,2,0,4+,0,False,False,False,False,False,1236.0468643,True
10_3120,92023,Clamart,Man,42,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Living alone,1,0,0.0,0.0,1,0,False,True,0,0,0,0,False,False,False,True,False,1285.7965172,True
10_3121,91326,Juvisy-sur-Orge,Man,42,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",1,In a couple with child(ren),3,0,1.0,0.0,2,0,False,True,1,0,3,0,True,False,False,True,False,4561.0897617,True
10_3122,75110,Paris,Man,62,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,1,0,0.0,0.0,1,0,False,True,0,0,1,0,True,True,False,True,False,847.90373965,True
10_3123,95637,Vaureal,Man,16,Lower secondary certificate (Brevet) or equivalent,7,Living with one or both parents,5,0,1.0,2.0,2,0,False,False,1,0,1,0,False,True,False,False,False,6599.008412,True
10_3124,92063,Rueil-Malmaison,Man,37,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple with child(ren),5,3,0.0,1.0,1,0,False,True,1,0,4+,0,False,False,False,False,False,2594.7477257,True
10_3125,75110,Paris,Man,47,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",3,In a couple without children,1,0,0.0,0.0,1,0,False,True,0,0,0,0,True,False,False,True,False,1210.1594184,True
10_3126,91274,Gometz-la-Ville,Woman,34,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",3,In a couple with child(ren),4,2,0.0,0.0,2,0,False,True,2,0,2,0,False,False,False,False,False,847.89965329,True
10_3129,92014,Bourg-la-Reine,Woman,21,"3–4-year higher education degree: Licence, Professional Licence, Master 1, or equivalent",7,Living alone,1,0,0.0,0.0,0,0,False,,0,0,0,0,,False,False,False,False,711.68913863,True
10_3130,75112,Paris,Man,25,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,Living alone,1,0,0.0,0.0,1,0,False,True,0,0,1,0,True,False,False,True,False,1122.6556612,True
10_3131,92048,Meudon,Man,35,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple without children,2,0,0.0,0.0,2,0,False,True,0,0,2,0,True,False,False,False,False,3057.5125542,True
10_3132,95489,Piscop,Woman,25,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",7,In a couple without children,1,0,0.0,0.0,1,0,False,True,1,0,0,0,True,False,False,False,False,467.45313782,True
10_3133,95218,Eragny,Woman,46,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",3,In a couple without children,2,0,0.0,0.0,2,0,False,True,2,0,2,0,False,False,False,False,False,812.52925842,True
10_3135,94079,Villiers-sur-Marne,Man,34,"5-year-and-above higher education degree: Master's 2, DEA, DESS, Grande École Diploma, Doctorate, etc.",2,In a couple with child(ren),3,1,0.0,0.0,2,0,False,True,1,0,2,0,True,False,False,True,False,2273.2852748,True
10_3136,93071,Sevran,Woman,16,Lower secondary certificate (Brevet) or equivalent,7,Living with one or both parents,7,3,1.0,0.0,3,0,False,False,2,0,0,0,False,False,False,False,False,7408.4877844,True
