ID,CODGEO,SEX,AGE,DIPLOMA,PRO_CAT,NBPERS_HOUSE,NB_10,NB_11_17,NB_18_24,NB_25_64,NB_65,PMR,DRIVING_LICENCE,NB_CAR,TWO_WHEELER,BIKE,ELECT_SCOOTER,NAVIGO_SUB,IMAGINER_SUB,OTHER_SUB_PT,BIKE_SUB,NSM_SUB,WEIGHT_INDIV,GPS_RECORD
10_2992,75107.0,0.0,40.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1549.8231313,1.0
10_2993,77445.0,0.0,55.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.8951944,1.0
10_2994,75115.0,1.0,44.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3936.4098434,1.0
10_2995,93033.0,0.0,39.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4859.3303436,1.0
10_2996,94079.0,1.0,53.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,417.61591821,1.0
10_2998,91587.0,1.0,32.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1528.6932951,1.0
10_3000,93078.0,1.0,24.0,5.0,7.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,752.67867303,1.0
10_3002,77508.0,1.0,67.0,3.0,6.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12445.469218,1.0
10_3003,78688.0,0.0,20.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2672.2044799,1.0
10_3004,94033.0,1.0,51.0,5.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1343.7015485,1.0
10_3005,94033.0,1.0,19.0,3.0,7.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,7305.0528663,1.0
10_3006,91223.0,1.0,42.0,4.0,2.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1068.4996818,1.0
10_3007,77058.0,0.0,62.0,5.0,6.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,705.2459952,1.0
10_3010,94077.0,0.0,62.0,0.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2494.6626944,1.0
10_3011,92026.0,1.0,43.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4286.6810558,1.0
10_3014,75115.0,1.0,21.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1000.0810595,1.0
10_3016,78420.0,0.0,58.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,813.99827614,1.0
10_3017,91667.0,1.0,43.0,5.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1169.4536563,1.0
10_3018,94054.0,1.0,40.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4037.6686895,1.0
10_3019,77337.0,1.0,21.0,3.0,8.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4340.4850238,1.0
10_3021,91587.0,0.0,46.0,5.0,3.0,6.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,927.48964584,1.0
10_3022,92040.0,1.0,45.0,5.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2594.7477257,1.0
10_3023,93051.0,0.0,33.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,655.32493016,1.0
10_3024,92046.0,1.0,22.0,4.0,7.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1242.8197525,1.0
10_3025,75120.0,1.0,45.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1375.0003715,1.0
10_3026,94046.0,1.0,60.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7732.5306896,1.0
10_3027,94054.0,1.0,19.0,3.0,7.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9339.9993578,1.0
10_3030,75110.0,0.0,55.0,5.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2697.5129003,1.0
10_3031,95676.0,1.0,64.0,3.0,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5074.4511556,1.0
10_3032,92071.0,0.0,25.0,5.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,571.75926522,1.0
10_3033,78015.0,1.0,53.0,4.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2429.3323324,1.0
10_3034,75111.0,1.0,27.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2742.1303401,1.0
10_3035,95500.0,0.0,32.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,500.60243796,1.0
10_3036,95500.0,0.0,34.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,781.10891374,1.0
10_3037,78551.0,1.0,18.0,3.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2700.9156334,1.0
10_3038,94042.0,1.0,55.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4434.8178354,1.0
10_3039,93013.0,1.0,39.0,3.0,5.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19939.046556,1.0
10_3040,75118.0,1.0,22.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3487.8252536,1.0
10_3041,93048.0,1.0,37.0,4.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1376.2718411,1.0
10_3042,91377.0,1.0,27.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.04565881,1.0
10_3043,91272.0,1.0,42.0,5.0,2.0,6.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,870.89292586,1.0
10_3044,91549.0,0.0,36.0,5.0,8.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.9061273,1.0
10_3047,92035.0,1.0,34.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1285.7965172,1.0
10_3049,77122.0,1.0,52.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,379.40538281,1.0
10_3050,75112.0,0.0,41.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1619.4797582,1.0
10_3052,95154.0,0.0,57.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,945.03714758,1.0
10_3053,78653.0,1.0,61.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,935.26467631,1.0
10_3054,77099.0,1.0,61.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,717.58191666,1.0
10_3055,93066.0,1.0,31.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,368.33024277,1.0
10_3056,91326.0,1.0,44.0,4.0,3.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1818.1662572,1.0
10_3057,93062.0,1.0,42.0,5.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2177.5398287,1.0
10_3058,93063.0,0.0,37.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,348.38326128,1.0
10_3059,75114.0,0.0,51.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2120.2569973,1.0
10_3060,95019.0,1.0,39.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969.431961,1.0
10_3063,91103.0,1.0,38.0,5.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,870.89292586,1.0
10_3064,93061.0,1.0,26.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,850.21431193,1.0
10_3065,75111.0,1.0,45.0,5.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3061.8102217,1.0
10_3067,75112.0,1.0,23.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000.0810595,1.0
10_3069,94080.0,0.0,35.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,530.20314865,1.0
10_3070,94046.0,0.0,76.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5226.7589966,1.0
10_3073,93005.0,1.0,34.0,4.0,1.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5802.7874908,1.0
10_3074,75120.0,1.0,28.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2742.1303401,1.0
10_3075,77389.0,0.0,44.0,3.0,4.0,6.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6736.3143234,1.0
10_3076,77040.0,0.0,42.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6206.1926701,1.0
10_3077,75112.0,1.0,33.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2742.1303401,1.0
10_3078,91103.0,1.0,42.0,4.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.7085393,1.0
10_3082,94002.0,0.0,43.0,4.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2670.7421646,1.0
10_3083,93048.0,0.0,59.0,4.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.09916585,1.0
10_3084,92046.0,0.0,49.0,4.0,3.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2909.6632458,1.0
10_3085,93032.0,0.0,66.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6774.4873959,1.0
10_3086,75116.0,1.0,18.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2547.898829,1.0
10_3088,94041.0,0.0,55.0,3.0,3.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11322.295783,1.0
10_3090,75118.0,1.0,33.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2742.1303401,1.0
10_3091,78133.0,1.0,23.0,5.0,7.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.7361271,1.0
10_3092,92025.0,1.0,47.0,5.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2357.189719,1.0
10_3093,95328.0,0.0,58.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.7856668,1.0
10_3095,95323.0,1.0,25.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,840.25546448,1.0
10_3096,92072.0,1.0,26.0,5.0,2.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3147.3505393,1.0
10_3097,92072.0,1.0,23.0,4.0,7.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1571.0703183,1.0
10_3098,95176.0,1.0,34.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.85756119,1.0
10_3099,91665.0,1.0,46.0,0.0,2.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.4278561,1.0
10_3101,95218.0,0.0,41.0,5.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1601.3006215,1.0
10_3102,75117.0,1.0,20.0,4.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1489.6559194,1.0
10_3103,75107.0,0.0,22.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,818.91514887,1.0
10_3104,95019.0,1.0,73.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14032.023831,1.0
10_3105,92060.0,1.0,19.0,3.0,7.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5068.4390351,1.0
10_3107,94046.0,0.0,40.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1654.1298588,1.0
10_3109,92048.0,0.0,43.0,5.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2917.1914101,1.0
10_3111,92062.0,1.0,35.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2930.0194262,1.0
10_3112,75101.0,1.0,34.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1375.0003715,1.0
10_3113,75117.0,1.0,40.0,5.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2771.6443559,1.0
10_3114,94034.0,0.0,50.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,567.61945345,1.0
10_3116,93078.0,0.0,36.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12819.127509,1.0
10_3117,77390.0,0.0,58.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1576.4530626,1.0
10_3118,94033.0,1.0,60.0,5.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,791.36126487,1.0
10_3119,78621.0,1.0,62.0,5.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.0468643,1.0
10_3120,92023.0,1.0,42.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1285.7965172,1.0
10_3121,91326.0,1.0,42.0,5.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4561.0897617,1.0
10_3122,75110.0,1.0,62.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,847.90373965,1.0
10_3123,95637.0,1.0,16.0,1.0,7.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6599.008412,1.0
10_3124,92063.0,1.0,37.0,5.0,2.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2594.7477257,1.0
10_3125,75110.0,1.0,47.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1210.1594184,1.0
10_3126,91274.0,0.0,34.0,5.0,3.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,847.89965329,1.0
10_3129,92014.0,0.0,21.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.68913863,1.0
10_3130,75112.0,1.0,25.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1122.6556612,1.0
10_3131,92048.0,1.0,35.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3057.5125542,1.0
10_3132,95489.0,0.0,25.0,5.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,467.45313782,1.0
10_3133,95218.0,0.0,46.0,5.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,812.52925842,1.0
10_3135,94079.0,1.0,34.0,5.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2273.2852748,1.0
10_3136,93071.0,0.0,16.0,1.0,7.0,7.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7408.4877844,1.0
10_3137,94022.0,0.0,57.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1738.0971935,1.0
10_3138,91103.0,1.0,27.0,5.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,912.00053718,1.0
10_3139,78089.0,1.0,32.0,0.0,5.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10233.227923,1.0
10_3140,94028.0,0.0,18.0,3.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1539.8284059,1.0
10_3143,92032.0,1.0,45.0,5.0,2.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2744.681144,1.0
10_3144,77143.0,0.0,50.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,388.52462625,1.0
10_3145,78646.0,1.0,24.0,4.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1164.3206504,1.0
10_3147,94003.0,0.0,28.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400.53401497,1.0
10_3148,75118.0,1.0,36.0,5.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,3061.8102217,1.0
10_3149,95063.0,1.0,44.0,4.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1969.431961,1.0
